,Unnamed: 0,id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count,first,second,third,first_mapx,first_mapy,second_mapx,second_mapy,third_mapx,third_mapy,elementary_count,middle_count,high_count,park_count,station
166,166,166,서울특별시 용산구 용산동2가,용산구,용산동2가,0.0,0.0,0.0,0.43,0.53,0.62,0.43,0.0,0.0,0.0,2.02,0.0,0.0,0.0,3411,2543,74.6,0,0,0,2,4,5,1,0,0,0,12,충정로3가,북아현동,도선동,37.562611,126.96135100000001,37.561665999999995,126.95617,37.563897,127.033258,1,1,2,0,[]
167,167,167,서울특별시 용산구 용산동4가,용산구,용산동4가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3411,2543,74.6,0,0,0,0,0,0,0,0,0,0,0,용산동3가,주성동,0,37.533189,126.974319,37.522591,126.998382,0.0,0.0,0,0,0,0,['녹사평(용산구청)역 6호선']
168,168,168,서울특별시 용산구 갈월동,용산구,갈월동,0.0,1.25,0.0,0.43,0.27,0.62,0.87,0.0,0.0,0.0,3.44,2249.0,1999.0,1899.0,3411,2543,74.6,0,1,0,2,2,5,2,0,0,0,12,마천동,용답동,후암동,37.497116999999996,127.15239299999999,37.564353999999994,127.05279499999999,37.549171,126.97893799999999,0,0,0,0,"['숙대입구역 4호선', '남영역 1호선']"
169,169,169,서울특별시 용산구 남영동,용산구,남영동,0.0,0.0,0.0,0.0,0.27,0.12,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,3411,2543,74.6,0,0,0,0,2,1,0,0,0,0,3,미근동,저동1가,을지로7가,37.563162,126.967026,37.564362,126.98731399999998,37.565117,127.00928799999998,0,0,0,0,[]
170,170,170,서울특별시 용산구 용산동1가,용산구,용산동1가,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,3411,2543,74.6,0,0,0,0,1,0,0,0,0,0,1,신창동,청암동,도원동,37.53573,126.955199,37.53504,126.9465,37.539188,126.95794,0,0,0,0,[]
171,171,171,서울특별시 용산구 동자동,용산구,동자동,3.33,2.5,3.33,0.21,0.27,0.62,0.43,0.0,0.0,0.0,10.71,2390.0,2090.0,1890.0,3411,2543,74.6,1,2,1,1,2,5,1,0,0,0,13,대조동,갈현동,도곡동,37.612276,126.92285,37.621223,126.914993,37.486509000000005,127.04073799999999,0,0,0,1,"['서울역 공항철도', '서울역 4호선']"
172,172,172,서울특별시 용산구 서계동,용산구,서계동,0.0,1.25,0.0,0.64,0.13,0.25,0.0,0.0,0.0,0.0,2.27,2174.0,2048.0,1906.0,3411,2543,74.6,0,1,0,3,1,2,0,0,0,0,7,상도1동,능동,관철동,37.502889,126.950645,37.553729,127.08238100000001,37.569182,126.986053,0,1,1,1,[]
173,173,173,서울특별시 용산구 청파동1가,용산구,청파동1가,0.0,0.0,0.0,0.43,0.13,0.12,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,3411,2543,74.6,0,0,0,2,1,1,0,0,0,0,4,용문동,통의동,세종로,37.537571,126.95993600000001,37.578307,126.972872,37.572655,126.97674199999999,0,0,0,0,[]
174,174,174,서울특별시 용산구 청파동2가,용산구,청파동2가,0.0,0.0,0.0,0.64,0.0,0.12,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,3411,2543,74.6,0,0,0,3,0,1,0,0,0,0,4,영등포동2가,삼선동5가,중학동,37.520839,126.910094,37.58825,127.01578899999998,37.575301,126.97926499999998,1,0,0,0,[]
175,175,175,서울특별시 용산구 청파동3가,용산구,청파동3가,0.0,0.0,0.0,0.0,0.4,0.38,0.43,0.0,0.0,0.0,1.21,0.0,0.0,0.0,3411,2543,74.6,0,0,0,0,3,3,1,0,0,0,7,가리봉동,중림동,양평동2가,37.482944,126.888062,37.558715,126.96583999999999,37.52427,126.884578,1,2,2,1,[]
176,176,176,서울특별시 용산구 원효로1가,용산구,원효로1가,0.0,0.0,0.0,0.43,0.13,0.25,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3411,2543,74.6,0,0,0,2,1,2,0,0,0,0,5,인사동,금호동2가,송정동,37.571837,126.98620600000001,37.552482,127.020133,37.552124,127.067652,0,0,0,0,[]
177,177,177,서울특별시 용산구 원효로2가,용산구,원효로2가,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.26,2169.0,1934.0,1768.0,3411,2543,74.6,0,0,0,0,1,1,0,0,0,0,2,원효로3가,안암동4가,합동,37.53414,126.95686200000002,37.580811,127.02463300000001,37.561567,126.96656599999999,1,0,0,0,[]
178,178,178,서울특별시 용산구 신창동,용산구,신창동,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,3411,2543,74.6,0,0,0,0,1,0,0,0,0,0,1,청암동,도원동,용산동6가,37.53504,126.9465,37.539188,126.95794,37.51915,126.98316399999999,0,0,0,0,[]
